iter	Passed	Remaining
0	53	53395
1	54	27026
2	54	18227
3	55	13824
4	56	11191
5	56	9421
6	57	8162
7	58	7213
8	58	6479
9	59	5893
10	60	5407
11	60	5005
12	61	4664
13	62	4380
14	62	4126
15	63	3901
16	64	3705
17	64	3531
18	65	3376
19	66	3244
20	66	3116
21	67	2996
22	67	2888
23	68	2788
24	69	2697
25	69	2612
26	70	2534
27	70	2461
28	71	2399
29	72	2343
30	73	2285
31	73	2230
32	74	2177
33	74	2128
34	75	2081
35	76	2037
36	76	1996
37	77	1956
38	77	1919
39	78	1883
40	79	1848
41	79	1816
42	80	1785
43	80	1755
44	81	1727
45	81	1700
46	82	1673
47	83	1648
48	83	1624
49	84	1601
50	84	1579
51	85	1566
52	86	1545
53	87	1526
54	87	1507
55	88	1488
56	88	1470
57	89	1453
58	90	1436
59	90	1420
60	91	1404
61	91	1389
62	92	1374
63	92	1359
64	93	1346
65	94	1332
66	94	1319
67	95	1303
68	95	1290
69	96	1278
70	96	1266
71	97	1254
72	97	1243
73	98	1232
74	99	1222
75	99	1211
76	100	1202
77	100	1192
78	101	1183
79	102	1173
80	102	1164
81	103	1155
82	103	1146
83	104	1137
84	104	1127
85	105	1119
86	105	1110
87	106	1102
88	106	1094
89	107	1087
90	108	1080
91	108	1072
92	109	1065
93	109	1058
94	110	1052
95	111	1045
96	111	1039
97	112	1032
98	112	1026
99	113	1020
100	114	1015
101	114	1006
102	114	1001
103	115	995
104	116	989
105	116	984
106	117	979
107	117	973
108	118	969
109	119	964
110	119	959
111	120	954
112	121	949
113	121	945
114	122	939
115	122	934
116	123	930
117	123	926
118	124	922
119	125	919
120	126	915
121	126	910
122	126	904
123	127	901
124	128	898
125	128	894
126	129	890
127	129	885
128	130	881
129	131	877
130	131	873
131	132	869
132	132	865
133	133	862
134	134	858
135	134	855
136	135	851
137	135	847
138	136	844
139	136	841
140	137	837
141	138	834
142	138	830
143	139	827
144	139	824
145	140	821
146	141	818
147	141	815
148	142	811
149	142	808
150	143	805
151	143	802
152	144	799
153	144	796
154	145	793
155	146	790
156	146	787
157	147	785
158	147	782
159	148	779
160	149	777
161	149	774
162	150	772
163	151	769
164	151	767
165	152	764
166	152	762
167	153	759
168	153	756
169	154	754
170	155	751
171	155	749
